product_category,customer_state,total_sales_revenue,quantity_sold
"CONSTRUCTION SECURITY TOOLS",SP,14227.47,66
"Furniture office",BA,14225.83,92
perfumery,SC,13954.45,118
"HEALTH BEAUTY",RN,13886.47,58
"computer accessories",GO,13856.23,124
"Watches present",PB,13388.88,43
telephony,PR,13273.28,250
housewares,DF,12988.35,155
"computer accessories",PE,12982.91,106
"Furniture Decoration",ES,12912.72,145
"HEALTH BEAUTY",AL,12780.26,63
"stationary store",RS,12769.01,148
"HEALTH BEAUTY",MA,12747.18,89
"sport leisure",PA,12733.25,85
"computer accessories",MA,12581.43,73
"Furniture Decoration",GO,12554.88,128
"computer accessories",CE,12504.75,93
"Cool Stuff",DF,12413.29,80
automotive,PE,12339.95,86
"Cool Stuff",CE,12235.4,51
telephony,SC,12175.47,175
automotive,ES,12145.66,87
"Agro Industria e Comercio",MG,12126.49,21
housewares,ES,12091.62,114
"Furniture Decoration",DF,12080.71,152
automotive,CE,11985.5,59
toys,DF,11791.85,97
"computer accessories",PA,11694.09,90
"Watches present",AL,11683.27,36
electrostile,DF,11437.13,23
automotive,GO,11360.75,99
"HEALTH BEAUTY",MS,11289.57,65
"stationary store",PR,11231.99,128
electrostile,PR,11217.34,42
"pet Shop",RS,11045.61,99
electronics,PR,10991.61,183
"Cool Stuff",ES,10909.83,66
housewares,MS,10861.74,39
"ELECTRICES 2",RS,10800.18,12
PCs,DF,10786.99,7
"Garden tools",ES,10732.53,104
telephony,PE,10608.94,129
toys,ES,10571.56,97
"sport leisure",CE,10551.62,93
"Furniture office",RS,10512.58,68
automotive,MT,10507.41,56
"Furniture office",SC,10439.13,62
perfumery,GO,10291.58,93
"HEALTH BEAUTY",PI,10290.19,54
"musical instruments",PR,10233.49,37
"Watches present",RN,10160.42,49
automotive,PI,10134.68,34
"musical instruments",BA,10033.3,39
perfumery,DF,9948.04,88
Furniture,SP,9946.06,52
"Watches present",MA,9904.99,61
babies,PA,9882.75,44
"computer accessories",MS,9878.79,63
"Market Place",SP,9824.63,117
perfumery,BA,9723.01,81
babies,GO,9631.87,54
PCs,PE,9596.97,10
"Furniture Decoration",PE,9593.28,98
"bed table bath",PE,9443.32,93
"sport leisure",MT,9433.02,76
audio,RJ,9360.35,58
telephony,ES,9323.35,115
"Garden tools",DF,9247.14,60
"Furniture Decoration",CE,9216.04,87
"Construction Tools Construction",PR,9200.82,51
NULL,PA,9178.96,19
"sport leisure",MS,9177.09,75
drinks,SP,9125.12,211
"Furniture Decoration",PA,9121.44,71
"musical instruments",RS,9106.6,32
"home appliances",RJ,9064.48,83
"pet Shop",SC,9018,85
toys,PE,8949.2,64
"stationary store",SC,8917.91,94
"HEALTH BEAUTY",SE,8883.66,40
"computer accessories",MT,8873.15,55
"Garden tools",MT,8850.13,53
perfumery,CE,8747.73,57
"Games consoles",RS,8700.54,61
NULL,GO,8659.88,53
babies,DF,8621.37,69
"Agro Industria e Comercio",RJ,8598.86,28
"HOUSE PASTALS OVEN AND CAFE",PR,8590,8
electrostile,SC,8589.04,28
"sport leisure",MA,8568.87,66
PCs,RS,8546.89,8
NULL,PR,8497.23,79
"pet Shop",PR,8456.64,91
"Casa Construcao",MG,8383.4,63
NULL,RS,8380.4,99
electronics,RS,8378.81,165
babies,ES,8370.65,62
electronics,SC,8322.86,125
"fixed telephony",ES,8213.78,9
"Fashion Bags and Accessories",RS,8172.47,80
"House comfort",MG,8097.59,57
PCs,ES,8058,3
telephony,PA,8037.41,77
"ELECTRICES 2",SC,7989.38,17
"House comfort",RJ,7954.87,61
"SIGNALIZATION AND SAFETY",SP,7949.51,95
toys,GO,7913.87,83
"Fashion Bags and Accessories",PR,7906.38,118
automotive,PA,7870.47,51
toys,CE,7869.8,66
"Room Furniture",MG,7817.38,48
"musical instruments",SC,7741.89,30
"Watches present",PI,7736.18,41
"computer accessories",AL,7714.36,41
housewares,CE,7643.31,59
"Cool Stuff",MA,7560.38,35
"CONSTRUCTION SECURITY TOOLS",MG,7546.76,29
telephony,CE,7539.33,99
"Casa Construcao",RS,7497.72,43
"technical books",SP,7490.78,113
"Furniture Kitchen Service Area Dinner and Garden",RJ,7487.34,47
"Construction Tools Garden",SP,7482.75,99
"Cool Stuff",PA,7467,49
"Cool Stuff",MT,7408.52,46
"ELECTRICES 2",PR,7359.82,16
"stationary store",BA,7355.95,77
NULL,SC,7263.55,63
"computer accessories",PB,7218.07,54
"Garden tools",PE,7213.53,65
automotive,MS,7142.65,26
PCs,PB,7128,4
"bed table bath",MT,7125.58,70
PCs,CE,7096.79,6
"HEALTH BEAUTY",RO,7085.76,25
"Casa Construcao",RJ,7067.68,72
"bed table bath",CE,7020.79,83
"Bags Accessories",RS,6959.95,56
babies,MT,6936.53,35
"Fashion Calcados",SP,6898.6,91
"Fashion Bags and Accessories",BA,6795.79,77
PCs,MA,6786.98,5
"Construction Tools Tools",SP,6786.25,33
PCs,PR,6676.98,4
perfumery,PE,6585.83,50
perfumery,ES,6577.55,68
"Furniture Decoration",MT,6568.94,75
"ELECTRICES 2",MG,6535.78,20
"Construction Tools Garden",RJ,6503.25,39
"Games consoles",PR,6483.52,47
"Bags Accessories",PR,6418.05,51
"musical instruments",PE,6410.5,11
"Drink foods",SP,6402.16,136
NULL,BA,6306.93,60
"Construction Tools Illumination",MG,6267.15,41
electronics,BA,6252.13,108
"Watches present",MS,6251.9,37
telephony,DF,6243.51,94
"Fashion Bags and Accessories",SC,6235.96,79
telephony,GO,6169.94,123
"Cool Stuff",MS,6163.88,26
"home appliances",RS,6141.38,44
"Garden tools",CE,6135.84,56
PCs,SC,6069.98,5
"Bags Accessories",SC,5926.77,35
toys,MT,5857.16,44
"home appliances",PR,5824.3,44
"pet Shop",BA,5823.67,62
"Furniture Decoration",MS,5819.66,65
"home appliances",MG,5814.42,86
"bed table bath",MS,5746.71,64
"Garden tools",PA,5718.42,37
"Cool Stuff",SE,5686.67,17
"sport leisure",PI,5675.69,34
"Games consoles",PE,5651.24,20
audio,MG,5627.09,35
"Agro Industria e Comercio",PE,5611.92,5
drinks,RJ,5604.82,55
"Garden tools",PB,5590.01,15
"Construction Tools Construction",RS,5578.65,44
"stationary store",ES,5503.36,50
"Cool Stuff",PB,5458.16,25
"Watches present",TO,5446.89,30
housewares,PE,5380.52,60
telephony,RN,5303.29,25
automotive,MA,5291.16,39
"computer accessories",PI,5276.15,36
babies,MA,5275.28,27
"musical instruments",ES,5247.38,21
"Furniture office",ES,5172.8,30
"sport leisure",TO,5144.32,25
"Garden tools",MS,5095.07,22
electrostile,CE,5043.29,8
"pet Shop",DF,5037.71,40
telephony,MA,5002.02,65
"sport leisure",PB,4998.52,36
"Construction Tools Construction",SC,4976.8,30
babies,PE,4939.41,41
"Agro Industria e Comercio",PR,4903.53,12
"stationary store",DF,4853.09,48
"HEALTH BEAUTY",TO,4798.99,36
"HOUSE PASTALS OVEN AND CAFE",SC,4754.9,4
"Furniture office",CE,4716.76,28
"pet Shop",GO,4692.63,28
"HOUSE PASTALS OVEN AND CAFE",MG,4668.38,10
housewares,PA,4660.21,38
babies,MS,4610.22,31
"Construction Tools Construction",BA,4594.7,36
"stationary store",GO,4579.82,50
automotive,AL,4578.54,22
"Furniture Decoration",MA,4570.36,48
"Watches present",RO,4553.27,15
babies,CE,4548.24,31
"stationary store",PE,4526.59,48
telephony,AL,4508.15,28
perfumery,PA,4480.28,35
"General Interest Books",MG,4470.52,54
"Furniture Decoration",PB,4441.71,42
perfumery,MA,4436.58,31
"Games consoles",SC,4387.53,34
climatization,MG,4379.11,20
"computer accessories",TO,4360.97,21
"Fashion Men's Clothing",SP,4294.28,57
babies,PI,4293.09,12
"Blu Ray DVDs",SP,4292.66,23
"General Interest Books",RJ,4249.16,57
"Games consoles",BA,4247.14,36
"Furniture Decoration",SE,4231.39,25
automotive,RN,4222.61,19
automotive,PB,4141.27,22
NULL,PE,4137.63,23
"fixed telephony",BA,4131.82,12
"Furniture office",PA,4115.24,27
"sport leisure",RN,4101.37,22
"computer accessories",SE,4052.9,36
toys,MS,3974.57,36
"bed table bath",MA,3964.63,36
"HOUSE PASTALS OVEN AND CAFE",RJ,3911.09,7
"Furniture Kitchen Service Area Dinner and Garden",MG,3886.46,29
"Casa Construcao",SC,3878.12,25
electrostile,BA,3871.96,18
toys,PA,3836.62,29
"musical instruments",MT,3818.7,6
toys,PI,3808.8,28
"Cool Stuff",RN,3800.28,21
"bed table bath",PI,3777.75,34
electronics,CE,3768.9,46
"sport leisure",AL,3747.68,33
"Garden tools",PI,3732.85,17
"Fashion Bags and Accessories",DF,3730.08,46
"Furniture office",MT,3720.77,20
electronics,ES,3716.14,79
"Furniture office",MA,3715.64,23
"Furniture Decoration",AL,3713.29,34
"Fashion Underwear and Beach Fashion",SP,3670.75,55
"Games consoles",CE,3664.05,16
housewares,MT,3640.5,52
"Room Furniture",RS,3582.95,24
"musical instruments",MS,3582.5,7
Furniture,RJ,3577.96,20
"Fashion Bags and Accessories",ES,3569.94,50
"Garden tools",SE,3568.13,29
PCs,GO,3559.97,5
NULL,CE,3546.67,18
"Games consoles",ES,3525.02,23
"Furniture office",PE,3519.57,20
"bed table bath",PA,3506.54,38
electrostile,MT,3502.9,8
