product_category,customer_state,total_sales_revenue,quantity_sold
electronics,MT,985.66,26
"Construction Tools Illumination",GO,985,5
"Kitchen portable and food coach",PA,979,1
"Kitchen portable and food coach",RS,979,1
"pet Shop",RO,975.53,8
"technical books",SC,975.23,10
"House comfort",PE,970.4,8
"Fashion Men's Clothing",RJ,967.37,12
foods,ES,963.69,14
"Fashion Men's Clothing",BA,960.8,9
"ELECTRICES 2",PE,959.99,2
"Casa Construcao",PB,959.25,5
"home appliances",RR,954.18,3
"Fashion Calcados",DF,944.59,7
climatization,GO,940.89,7
"Fashion Sport",SP,939.8,12
"Market Place",PR,928.94,15
"technical books",RS,913.56,12
"IMAGE IMPORT TABLETS",RJ,907.79,10
"Arts and Crafts",SP,906.25,16
"Construction Tools Illumination",MS,904.98,9
audio,CE,902.89,5
Art,BA,898.95,10
climatization,ES,898.8,6
"Christmas articles",SC,898.12,14
drinks,SC,891.91,14
"Casa Construcao",SE,884.95,3
"CONSTRUCTION SECURITY TOOLS",CE,882.63,5
"Industry Commerce and Business",PI,874.3,3
"Games consoles",PB,873.38,7
"Room Furniture",SE,870.99,3
perfumery,SE,868.72,7
"SIGNALIZATION AND SAFETY",ES,859.9,6
electronics,GO,854.75,33
"IMAGE IMPORT TABLETS",MG,851.7,10
"Fashion Calcados",BA,851.5,7
"pet Shop",MA,846.44,10
climatization,BA,832.86,6
"Market Place",ES,828.78,7
"cine photo",RS,821.58,12
"Casa Construcao",PI,820.6,4
"ELECTRICES 2",MT,815.79,3
"sport leisure",AP,812.69,7
"PC Gamer",SP,806.99,4
Furniture,SC,803,3
"Casa Construcao",DF,793.64,7
"Construction Tools Illumination",DF,788,4
"pet Shop",PB,786.48,8
electrostile,PE,781.89,3
"Fashion Calcados",ES,780.3,5
"Construction Tools Construction",SE,779.9,1
"ELECTRICES 2",MS,769.69,4
telephony,AM,766,15
"SIGNALIZATION AND SAFETY",MG,754.45,11
"Casa Construcao",AM,753.4,4
"Fashion Calcados",SC,750.1,7
"HOUSE PASTALS OVEN AND CAFE",DF,750,1
"HOUSE PASTALS OVEN AND CAFE",MT,750,1
"HOUSE PASTALS OVEN AND CAFE",MS,750,1
"Imported books",MA,749,1
foods,SC,747.44,16
"Construction Tools Illumination",BA,744.06,6
"Fashion Calcados",RS,742.8,10
"Furniture office",MS,739.77,4
"Kitchen portable and food coach",SP,736.31,8
foods,MT,734.4,7
audio,MA,733.88,3
"fixed telephony",AL,731.87,4
"Room Furniture",AL,729.79,3
"La Cuisine",SP,729,6
babies,AL,728.77,7
foods,RS,727.82,13
"SIGNALIZATION AND SAFETY",BA,725.84,6
automotive,AM,723.9,6
"stationary store",RO,723.6,8
toys,AM,721.56,7
"technical books",BA,720.52,10
"Furniture Kitchen Service Area Dinner and Garden",SC,714.48,7
"home appliances",GO,714.28,14
"Casa Construcao",MA,713.76,5
Art,PR,710.82,9
"Christmas articles",BA,703.21,10
"Christmas articles",PA,701.4,6
"Fashion Bags and Accessories",AM,699.99,1
"stationary store",AM,698.99,6
babies,AC,697.84,3
"House comfort",MT,687.8,4
"House comfort",MA,685.9,2
song,MG,683.33,6
"bed table bath",AM,681.2,8
"cine photo",MT,675.99,1
"technical books",DF,672.8,5
"Market Place",MA,672.28,9
"Drink foods",PE,672.01,5
audio,MT,671.8,4
"bed table bath",AP,669.5,6
electrostile,ES,668.75,3
telephony,RO,668.07,19
Furniture,BA,667,4
"Fashion Bags and Accessories",MT,665.37,14
"Market Place",MT,662.24,5
"Furniture Kitchen Service Area Dinner and Garden",MT,660,3
babies,AM,657.69,5
"stationary store",AL,655.01,8
"Drink foods",PR,653.48,16
"home appliances",PA,650.55,10
"Construction Tools Illumination",MT,649.99,3
"Construction Tools Garden",PR,648.59,6
"General Interest Books",PE,643.08,8
"HOUSE PASTALS OVEN AND CAFE",PE,640.99,1
"Cool Stuff",AM,638.88,4
"Fashion Men's Clothing",RS,638.79,9
"Fashion Underwear and Beach Fashion",BA,638.7,6
NULL,MS,635.96,9
"General Interest Books",AC,633.8,2
"Fashion Bags and Accessories",RO,632.49,9
"Casa Construcao",AL,630.75,3
"Bags Accessories",PI,630.59,5
"Garden tools",AC,629,2
"SIGNALIZATION AND SAFETY",DF,626.03,4
"CONSTRUCTION SECURITY TOOLS",GO,622.4,7
"Christmas articles",RJ,615.32,15
"SIGNALIZATION AND SAFETY",SC,612.5,10
Art,RS,611.44,9
"bed table bath",RR,609.7,3
electronics,AP,607.55,4
foods,PE,603.55,8
"Room Furniture",CE,602.98,2
"Construction Tools Garden",PB,599.9,1
climatization,SC,599.6,4
"ELECTRICES 2",PI,599.5,1
"House comfort",TO,599,1
PCs,MS,599,1
"Furniture Decoration",RR,590.99,6
"Agro Industria e Comercio",AP,589.99,1
"CONSTRUCTION SECURITY TOOLS",PB,589.9,8
"Construction Tools Tools",BA,589.7,5
climatization,MT,585.8,5
NULL,RO,579.66,6
"Room Furniture",PE,578.79,4
NULL,RN,578.54,6
"fixed telephony",PA,577.99,1
NULL,AL,574.98,4
NULL,PI,574.17,7
audio,PA,568,1
"bed table bath",AC,567.7,4
Art,DF,565.79,6
"CITTE AND UPHACK FURNITURE",MG,561.49,3
"Agro Industria e Comercio",MA,559.99,1
song,PR,558.6,7
"Market Place",CE,558.35,4
"Garden tools",RO,555.4,7
"Drink foods",BA,550.42,8
audio,AL,550.09,5
drinks,ES,546.42,5
"Fashion Calcados",MS,546,4
"Fashion Calcados",PA,542.4,4
NULL,AM,541.8,2
automotive,AC,540.98,4
climatization,AL,540,1
"ELECTRICES 2",AM,540,1
"Market Place",SE,533.8,3
"Agro Industria e Comercio",MT,530,2
"Agro Industria e Comercio",PB,528.99,2
"stationary store",AC,528.9,2
"cine photo",RJ,528.6,5
"Agro Industria e Comercio",MS,526.89,3
housewares,RO,525.97,5
"House comfort",DF,521.5,7
"CONSTRUCTION SECURITY TOOLS",DF,520.18,3
"Room Furniture",MT,519.88,3
"Construction Tools Tools",ES,513.99,4
housewares,AC,513.06,4
NULL,TO,511.99,5
foods,DF,511.08,9
Furniture,DF,510,1
"Furniture office",SE,506.93,3
"IMAGE IMPORT TABLETS",BA,505.8,6
"House comfort",PI,498.89,3
"Construction Tools Tools",SC,495.6,5
"HOUSE PASTALS OVEN AND CAFE",RS,494.9,3
"cine photo",MG,494.89,6
"La Cuisine",SC,494,2
drinks,BA,491.23,11
"Imported books",RJ,490.78,6
housewares,AP,490.49,4
"Construction Tools Garden",ES,489.8,5
"Arts and Crafts",MG,488.78,6
"Construction Tools Construction",PA,487.89,2
electronics,AC,487.55,4
"Market Place",PA,485.16,5
"Christmas articles",RS,484.9,6
"Fashion Calcados",MT,478.5,3
"Fashion Women's Clothing",MG,475.68,7
"Room Furniture",PB,472.88,3
Furniture,MT,469.8,2
climatization,PI,468.9,3
"Games consoles",MS,468.07,6
"computer accessories",RR,468.01,5
climatization,DF,468,3
"Fashion Bags and Accessories",SE,466.5,8
"Industry Commerce and Business",BA,465,5
"Fashion Underwear and Beach Fashion",GO,457.7,5
"House Comfort 2",SP,456.78,14
"Agro Industria e Comercio",CE,452.9,6
"Casa Construcao",RN,452.6,1
"Blu Ray DVDs",MS,448.8,3
climatization,CE,446.16,2
"Fashion Men's Clothing",ES,445.8,3
"Agro Industria e Comercio",ES,442.3,2
"Fashion Underwear and Beach Fashion",MS,441.9,3
audio,PE,441.79,4
"musical instruments",AM,439,1
flowers,SP,438.67,11
Furniture,RS,435,2
"home appliances",RN,434.25,2
"La Cuisine",RS,428.99,3
"Games consoles",AM,423.3,2
"Market Place",PB,422.8,3
